id,slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
1160,instant-crush,Instant Crush,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---INSTANT-CRUSH-FOR-UNISEX.jpg,,Unisex,32.00,55.00,90.00,Mancera,"berqamot, naringi-mandarin, zəfəran, zəncəfil","mərakeş-qızılgülü, misir-jasmini, indoneziyadan-paçuli, ənbər-ağacı","ağ-müşk, palıd-mamırı, səndəl, vanil",https://www.etirsah.com/az/product/1160,Stokda Var
1163,red-tobacco,Red Tobacco,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---RED-TOBACCO-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Mancera,"armud, darçın, hind-qozu, zəfəran, yaşıl-alma, aqar-ağacı-ud, büxur-ladan","jasmin, paçuli","ağ-müşk, səndəl, tütün, vanil, vetivera, ənbər, qvayak-ağacı",https://www.etirsah.com/az/product/1163,Stokda Var
1164,roses-chocolate,Roses & Chocolate,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---ROSES-%26-CHOCOLATE-FOR-UNISEX.jpg,,Unisex,15.00,25.00,35.00,Mancera,"berqamot, naringi-mandarin, şaftalı, qara-qarağat","bənövşə, qızılgül, tünd-şokolad","ağ-müşk, sidr, vanil",https://www.etirsah.com/az/product/1164,Stokda Var
1165,roses-greedy,Roses Greedy,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---ROSES-GREEDY-FOR-UNISEX.jpg,,Unisex,20.00,35.00,55.00,Mancera,"çəhrayı-istiot, kokos, naringi-mandarin, şaftalı, qara-qarağat","jasmin, qızılgül, çiçək-notları","ağ-müşk, benzoin, şəkər, vanil, ənbər",https://www.etirsah.com/az/product/1165,Stokda Var
1166,roses-vanille,Roses Vanille,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---ROSES-VANILLE-FOR-WOMEN.jpg,,Qadın,25.00,45.00,70.00,Mancera,limon,qızılgül,"ağ-müşk, sidr, vanil",https://www.etirsah.com/az/product/1166,Stokda Var
1167,sand-aoud,Sand Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---SAND-AOUD-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Mancera,"ədviyyatlar, qara-qarağat","qızılgül, zəfəran, büxur-ladan","ağ-müşk, paçuli, vanil, aqar-ağacı-ud",https://www.etirsah.com/az/product/1167,Stokda Var
1169,velvet-vanilla,Velvet Vanilla,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---VELVET-VANILLA-FOR-UNISEX.jpg,,Unisex,20.00,35.00,55.00,Mancera,"armud, çəhrayı-istiot, mixək, naringi-mandarin, tütəkotu, qara-qarağat","jasmin, neroli, qızılgül, tuberoza","ağ-müşk, vanil",https://www.etirsah.com/az/product/1169,Stokda Var
1170,wild-python,Wild Python,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---WILD-PYTHON-FOR-WOMEN.jpg,,Qadın,20.00,35.00,55.00,Mancera,"berqamot, osmantus, şaftalı, tuberoza","jasmin, paçuli, portağal-çiçəyi","ağ-müşk, vanil",https://www.etirsah.com/az/product/1170,Stokda Var
1184,rebel-hero,Rebel Hero,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANGO---REBEL-HERO-FOR-MEN.jpg,,Kişi,15.00,25.00,35.00,Mango,"laym, qreyfrut","ingilis-arağı, mohito","ot, səndəl, ədviyyatlar",https://www.etirsah.com/az/product/1184,Stokda Var
1171,b683,B683,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MARC---ANTOINE-BARROIS---B683-FOR-MEN.jpg,,Kişi,25.00,45.00,70.00,Marc - Antoıne Barroıs,"acı-bibər, hind-qozu, qara-istiot, zəfəran","bənövşə-yarpağı, labdanum, müşk, ənbər","ambroksan, paçuli, palıd-mamırı, səndəl",https://www.etirsah.com/az/product/1171,Stokda Var
