slug,png_url,status
"stallion-leather","https://perfoumer-cdn.vercel.app/perfumes/stallion-leather.png","404"
"star-of-the-seasons","https://perfoumer-cdn.vercel.app/perfumes/star-of-the-seasons.png","404"
"starlight-vanilla","https://perfoumer-cdn.vercel.app/perfumes/starlight-vanilla.png","404"
"strong-me","https://perfoumer-cdn.vercel.app/perfumes/strong-me.png","404"
"supreme-vanilla","https://perfoumer-cdn.vercel.app/perfumes/supreme-vanilla.png","404"
"sur-la-route","https://perfoumer-cdn.vercel.app/perfumes/sur-la-route.png","404"
"take-me-to-the-moon","https://perfoumer-cdn.vercel.app/perfumes/take-me-to-the-moon.png","404"
"tease","https://perfoumer-cdn.vercel.app/perfumes/tease.png","404"
"terre-dhermes-intense","https://perfoumer-cdn.vercel.app/perfumes/terre-dhermes-intense.png","404"
"the-cut","https://perfoumer-cdn.vercel.app/perfumes/the-cut.png","404"
"the-dandy","https://perfoumer-cdn.vercel.app/perfumes/the-dandy.png","404"
"the-muse","https://perfoumer-cdn.vercel.app/perfumes/the-muse.png","404"
"this-is-not-testosterone","https://perfoumer-cdn.vercel.app/perfumes/this-is-not-testosterone.png","404"
"tobacco-mandarin","https://perfoumer-cdn.vercel.app/perfumes/tobacco-mandarin.png","404"
"tonka-cola","https://perfoumer-cdn.vercel.app/perfumes/tonka-cola.png","404"
"tonkatonic","https://perfoumer-cdn.vercel.app/perfumes/tonkatonic.png","404"
"torino23","https://perfoumer-cdn.vercel.app/perfumes/torino23.png","404"
"trussardi-sound-of-donna","https://perfoumer-cdn.vercel.app/perfumes/trussardi-sound-of-donna.png","404"
"tubereuse-nue","https://perfoumer-cdn.vercel.app/perfumes/tubereuse-nue.png","404"
"tyrenum","https://perfoumer-cdn.vercel.app/perfumes/tyrenum.png","404"
"valaya-exclusif","https://perfoumer-cdn.vercel.app/perfumes/valaya-exclusif.png","404"
"vanilla-blend","https://perfoumer-cdn.vercel.app/perfumes/vanilla-blend.png","404"
"vanille-absolu","https://perfoumer-cdn.vercel.app/perfumes/vanille-absolu.png","404"
"vanille-leather","https://perfoumer-cdn.vercel.app/perfumes/vanille-leather.png","404"
"vanille-malika","https://perfoumer-cdn.vercel.app/perfumes/vanille-malika.png","404"
"velvet-haze","https://perfoumer-cdn.vercel.app/perfumes/velvet-haze.png","404"
"very-good-girl","https://perfoumer-cdn.vercel.app/perfumes/very-good-girl.png","404"
"very-irresistible","https://perfoumer-cdn.vercel.app/perfumes/very-irresistible.png","404"
"very-sexy","https://perfoumer-cdn.vercel.app/perfumes/very-sexy.png","404"
"very-sexy-sea","https://perfoumer-cdn.vercel.app/perfumes/very-sexy-sea.png","404"
"vetiver-dhaiti-au-the-vert","https://perfoumer-cdn.vercel.app/perfumes/vetiver-dhaiti-au-the-vert.png","404"
"vetiver-lemon-bergamot","https://perfoumer-cdn.vercel.app/perfumes/vetiver-lemon-bergamot.png","404"
"vibrato","https://perfoumer-cdn.vercel.app/perfumes/vibrato.png","404"
"warm-coconut-sugar","https://perfoumer-cdn.vercel.app/perfumes/warm-coconut-sugar.png","404"
"whiplash","https://perfoumer-cdn.vercel.app/perfumes/whiplash.png","404"
"wild-aoud","https://perfoumer-cdn.vercel.app/perfumes/wild-aoud.png","404"
"xo","https://perfoumer-cdn.vercel.app/perfumes/xo.png","404"
"y-elixir","https://perfoumer-cdn.vercel.app/perfumes/y-elixir.png","404"
"y-le-parfum","https://perfoumer-cdn.vercel.app/perfumes/y-le-parfum.png","404"
"yara-candy","https://perfoumer-cdn.vercel.app/perfumes/yara-candy.png","404"
"yellow-diamond","https://perfoumer-cdn.vercel.app/perfumes/yellow-diamond.png","404"
"young-rose","https://perfoumer-cdn.vercel.app/perfumes/young-rose.png","404"
"yum-boujee-marshmallow-81","https://perfoumer-cdn.vercel.app/perfumes/yum-boujee-marshmallow-81.png","404"
